sentence	aspect	polarity
I couldn't believe how long the battery lasted on a single charge.	battery operation performance	positive
I loaded windows 7 via Bootcamp and it works flawlessly!	os operation performance	positive
Simply amazing computer!!	laptop general	positive
I really like the Mac 15.4in. Notebook, but its very pricey.	laptop general	positive
I really like the Mac 15.4in. Notebook, but its very pricey.	laptop price	negative
Love the graphics, awesome programs (including Garageband), and really cool default background.	graphics general	positive
Love the graphics, awesome programs (including Garageband), and really cool default background.	laptop design features	positive
Love the graphics, awesome programs (including Garageband), and really cool default background.	software general	positive
But, like I said before, the only reason I don't currently have a Mac laptop is because all of their laptops are too pricey.	laptop price	negative
Waiting for the i7 was well worth it, great value for the price.	laptop general	positive
Waiting for the i7 was well worth it, great value for the price.	laptop price	neutral
Bigger HD, better graphics card, and a bid HD.	graphics general	positive
Bigger HD, better graphics card, and a bid HD.	hard disc design features	positive
There is nothing to complain about the system.	laptop general	positive
I have used PC's and converting to this MacBook Pro was easy.	laptop usability	positive
If you have the money I suggest going for the i7.	laptop general	positive
I occassionaly use it for work via VPN and it has not given me any problems.	laptop miscellaneous	positive
The screen is nice and the images comes very clear, the keyboard and the fit just feels right.	display general	positive
The screen is nice and the images comes very clear, the keyboard and the fit just feels right.	display quality	positive
The screen is nice and the images comes very clear, the keyboard and the fit just feels right.	keyboard quality	positive
The screen is nice and the images comes very clear, the keyboard and the fit just feels right.	laptop design features	positive
I consider myself an average user and this computer serves my need.	laptop general	positive
The price is another driving influence that made me purchase this laptop.	laptop price	positive
I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.	laptop design features	positive
I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.	laptop price	positive
I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.	laptop quality	positive
I normally dont participate in reviews/surveys but this laptop has not given me any problems and hope to share my thoughts...	laptop general	positive
another satisfied customer.	laptop general	positive
The apple MacBook is the best investment that I have ever made.	laptop general	positive
The newer MacBook that I have purchased is one of the best computers.	laptop general	positive
I am a college student and it has been very useful.	laptop miscellaneous	positive
It has all the features that are necessary for college and if not they are able to be added onto the computer.	laptop design features	positive
It has all the features that are necessary for college and if not they are able to be added onto the computer.	laptop usability	positive
It has a lot of memory and a great battery life.	battery operation performance	positive
It has a lot of memory and a great battery life.	memory design features	positive
It is sleek and lightweight and charges quickly when needed.	battery operation performance	positive
It is sleek and lightweight and charges quickly when needed.	laptop design features	positive
Its white color is stylish for college students and easy to take to carry and take to classes.	laptop design features	positive
Its white color is stylish for college students and easy to take to carry and take to classes.	laptop portability	positive
Iphoto is great for adding pictures right to facebook and other social networking sites.	software miscellaneous	positive
The internet capabilities are also very strong and picks up signals very easily.	laptop connectivity	positive
I have never had to shut down the computer unexpectedly and the computer has never froze on me.	laptop operation performance	positive
The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.	display quality	positive
The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.	keyboard usability	positive
Overall, this is a wonderful computer and definitly worth the purchase!	laptop general	positive
The graphics are stunning.	graphics general	positive
It's wonderful for computer gaming.	laptop miscellaneous	positive
I would definitely suggest this laptop!	laptop general	positive
It is very user friendly and not hard to figure out at all.	laptop usability	positive
It has many great programs, such as ILife, iPhotos and others.	laptop design features	positive
It has many great programs, such as ILife, iPhotos and others.	software general	positive
iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.	software usability	positive
In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.	software design features	positive
In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.	software usability	positive
This comes in very handy for me as an educator.	software usability	positive
iPhotos is an excellent program for storing and organizing photos.	software miscellaneous	positive
It allows you to automatically upload photos to your Facebook account with one click.	software usability	positive
In addition, there is photo detection software that will allow you to group all the photos together based upon the people in the picture.	software design features	positive
If you are looking for something reliable, this is the laptop for you.	laptop quality	positive
This computer was awful!	laptop general	negative
I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.	company general	negative
I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.	laptop operation performance	negative
I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.	support quality	negative
The computer first started malfunctioning 3 months after purchasing it.	laptop operation performance	negative
The computer first started malfunctioning 3 months after purchasing it.	laptop quality	negative
It does not keep internet signals no matter where you bring it.	laptop connectivity	negative
The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.	os operation performance	negative
The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.	os quality	negative
When calling Dell for help, reurn, or a new computer they were not useful and left it up to myself to figure out what to do with it.	support quality	negative
One year of trying to fix the computer by myself, with help of friends, and even help from computer experts I have given up on trying to fix it.	laptop quality	negative
This computer was awful, I would never recomend it to another person.	laptop general	negative
Those moments in thime where you want to throw something against the wall?	laptop general	negative
Yeah, I wanted to throw that lap top out the window and light it on fire.	laptop general	negative
That's how frustrating it was.	laptop general	negative
It is so simple to use, I use it more than my desktop.	laptop usability	positive
It is well worth the money it cost, Very good investment.	laptop general	positive
It is well worth the money it cost, Very good investment.	laptop price	positive
The new Macbook Pro 15 inch i7 is nothing short of amazing.	laptop general	positive
The speed is incredible and I am more than satisfied.	laptop operation performance	positive
THIS LAPTOP WAS BAD FROM THE FIRST DAY OF USE----BROUGHT IT BACK TO STORE FOR RETURN OF MONEY.	laptop general	negative
THIS LAPTOP WAS BAD FROM THE FIRST DAY OF USE----BROUGHT IT BACK TO STORE FOR RETURN OF MONEY.	laptop quality	negative
NOW AM VERY APREHENSIVE ABOUT TOSHIBA LAPTOPS.	company general	negative
WILL NOT EVERY BUY ANOTHER--------LOU	laptop general	negative
This is a great value for the money.	laptop general	positive
This is a great value for the money.	laptop price	neutral
This is a great computer.	laptop general	positive
We haven't had any problems with it at all.	laptop general	positive
The body is a bit cheaply made so it will be interesting to see how long it holds up.	laptop quality	negative
Overall though, for the money spent it's a great deal.	laptop general	positive
Overall though, for the money spent it's a great deal.	laptop price	positive
But let me tell you, the mac book pro is so professional.	laptop general	positive
Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.	laptop design features	positive
Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.	laptop general	positive
For example, when my husband turns the light out while I'm on the computer. the screen brightness automatically adjusts.	display design features	positive
It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.	keyboard design features	positive
It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.	keyboard quality	positive
It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.	keyboard usability	positive
Oh, it is such a great piece of equipment.	laptop general	positive
Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.	software design features	neutral
Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.	software operation performance	neutral
Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.	software usability	positive
I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.	laptop design features	positive
I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.	laptop portability	positive
Very long-life battery (up to 10-11 hours depending on how you configure power level settings).	battery operation performance	positive
I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.	laptop operation performance	positive
I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.	laptop usability	neutral
I play a lot of casual games online, and the touchpad is very responsive.	mouse operation performance	positive
I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.	laptop miscellaneous	positive
I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.	laptop operation performance	positive
I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.	laptop portability	positive
The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.	display design features	negative
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.	software design features	neutral
Everything from the design to the OS is simple and to the point.	laptop design features	positive
Everything from the design to the OS is simple and to the point.	laptop usability	positive
Everything from the design to the OS is simple and to the point.	os usability	positive
LOVE IT LOVE IT LOVE IT!	laptop general	positive
It really is perfect for work and play.	laptop miscellaneous	positive
I am able to play 720p and 1080p media files just fine with it.	laptop miscellaneous	positive
Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.	battery operation performance	positive
Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.	laptop operation performance	positive
The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that.	multimedia devices quality	negative
I upgraded it's RAM to 2GB, I am very happy with it.	laptop general	positive
I upgraded it's RAM to 2GB, I am very happy with it.	memory design features	neutral
lots of preloaded software.	laptop design features	positive
the only problem is that i had to add 1 gb RAM, the computer was kinda slow.	laptop operation performance	negative
the only problem is that i had to add 1 gb RAM, the computer was kinda slow.	memory design features	negative
tosiba has a good reputation, my llast computer was an acer.	company general	positive
this is starting off good.	laptop general	positive
What a great little laptop.	laptop general	positive
Maybe not the cutting edge (Satellite L455D) but it is a workhorse.	laptop design features	neutral
Maybe not the cutting edge (Satellite L455D) but it is a workhorse.	laptop operation performance	positive
I bought it to use in college and it is perfect.	laptop miscellaneous	positive
I dual boot with Linux and that other security-prone OS and it performs flawlessly.	laptop operation performance	positive
I made a perfect decision when I bought the Toshiba!	company general	positive
I made a perfect decision when I bought the Toshiba!	laptop general	positive
Excellent product for the money.	laptop general	positive
Excellent product for the money.	laptop price	neutral
No problems, no lock ups, no disappointments.	laptop general	positive
No problems, no lock ups, no disappointments.	laptop operation performance	positive
Not super fancy, but not super expensive either.	laptop design features	neutral
Not super fancy, but not super expensive either.	laptop price	neutral
Highly recommend for daily use.	laptop miscellaneous	positive
The Computer itself is a good product but the repair depot stinks.	laptop general	positive
The Computer itself is a good product but the repair depot stinks.	support quality	negative
I have had to send in my laptop three times to get it fixed.	support quality	negative
Toshiba does not send any one out unless you have paid extra to have the on site repair done.	support quality	negative
I would tell the technician I knew?exactly?what was wrong with it but they did not listen and I had to go through a bunch of junk to get them to tell me I needed to send the computer in.	support quality	negative
This computer that I have has had issues with the keyboard where it lost half the keyboard functions.	keyboard operation performance	negative
This computer that I have has had issues with the keyboard where it lost half the keyboard functions.	keyboard quality	negative
As well as having the plug in the computer come loose.	power supply quality	negative
So having the AC plug go out on me and get lose or I could actually here it inside my computer on two of the three times is not good.	power supply quality	negative
It still seems to be a little lose now but so far seems to be hanging in there.	power supply quality	negative
The Mac Book Pro performs flawlessly.	laptop operation performance	positive
Never had a single problem, and don't have to worry about viruses.	laptop general	positive
Never had a single problem, and don't have to worry about viruses.	laptop quality	positive
While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.	laptop miscellaneous	positive
Worth the investment and truly a fine piece of equipment.	laptop general	positive
Right out of the box, this little netbook did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously).	laptop general	positive
Right out of the box, this little netbook did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously).	laptop miscellaneous	positive
It even has a great webcam, and Skype works very well.	laptop design features	positive
It even has a great webcam, and Skype works very well.	multimedia devices general	positive
It even has a great webcam, and Skype works very well.	software operation performance	positive
The fact that you can spend over $100 on just a webcam underscores the value of this machine.	laptop general	positive
The Windows 7 Starter is, in my opinion, a great way to think about using your netbook: basics, basics, basics.	os general	neutral
I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.	laptop general	positive
I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.	laptop operation performance	positive
I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.	laptop price	positive
I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.	os general	negative
This netbook is a perfect supplementary computer to another laptop or desktop (my wife and I have another laptop), or if you are a user who uses the computer for simple tasks.	laptop miscellaneous	positive
I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).	battery operation performance	positive
I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).	laptop portability	positive
ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them.	company general	positive
ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them.	laptop general	positive
little short on RAM but you get what you pay for.	memory design features	neutral
the hinge design forced you to place various connections all around the computer, left right and front.	laptop design features	negative
the hinge design forced you to place various connections all around the computer, left right and front.	laptop usability	negative
the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.	laptop design features	negative
the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.	laptop usability	negative
the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.	mouse usability	negative
the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.	ports design features	negative
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.	laptop design features	negative
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.	laptop usability	negative
I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.	company general	negative
I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.	laptop design features	negative
I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.	laptop usability	negative
I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.	os general	positive
I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.	laptop general	positive
I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.	support quality	negative
The computer was shipped to their repair depot? on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.	shipping quality	positive
The computer was shipped to their repair depot? on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.	support quality	negative
They were totally unconcerned that the computer was not correctly repaired in the first place.	support quality	negative
The computer is currently in West Verginia doe to the method of shipping choosen by Toshiba.	shipping quality	negative
The computer could have been shipped by Priority Mail through the USPS for the same cost and arrived by Noon on Tue.	shipping quality	negative
Instead it is sitting in West Verginia waiting for UPS to take two days to send Me a box and Two days for them to ship the computer some 691 miles by air? to Louisville Ky.	shipping quality	negative
And Toshiba is totally unconcerned.	support quality	negative
The reaction of Toshiba is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.	support quality	negative
We don't Mind and You don't Matter.	support quality	negative
I would not recommend the purchase of this modle of Toshiba Computer or any Toshiba product for that matter.	company general	negative
I would not recommend the purchase of this modle of Toshiba Computer or any Toshiba product for that matter.	laptop general	negative
When it come time for warranty service to Toshiba you don't matter.	support quality	negative
Windows Vista makes this computer almost unusable for online service.	laptop usability	negative
Windows Vista makes this computer almost unusable for online service.	os general	negative
I've tried going back to XL but there still problems.	laptop usability	negative
The technical service for dell is so 3rd world it might as well not even bother.	support quality	negative
Just a bunch of idiots who's English as a 5th language is forced at best.	support quality	negative
I'm all for saving money but Dell needs to step it up.	company general	negative
Good price.	laptop price	positive
Basic computer.	laptop miscellaneous	neutral
Didn't work when shipped from Walmart.com but went into a store and exchanged for a working laptop (same make/model).	laptop miscellaneous	neutral
It has worked fine.	laptop operation performance	positive
Handles all my basic media needs easily.	laptop miscellaneous	positive
Can listen to my music and watch my videos with ease and with a great display.	display general	positive
Can listen to my music and watch my videos with ease and with a great display.	laptop usability	positive
It is speedy when connected wirelessly to any network regardless if the connection is weak or not.	laptop connectivity	positive
It is speedy when connected wirelessly to any network regardless if the connection is weak or not.	laptop operation performance	positive
It's a great prodcut to handle basic computing needs.	laptop miscellaneous	positive
It has served my needs quite nicely for the most part.	laptop general	positive
The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.	laptop operation performance	positive
The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.	memory design features	positive
My one complaint with this laptop is that I've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in.	ports quality	negative
This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.	hardware quality	negative
This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.	laptop price	neutral
Other than that, I would recommend this to someone in need of a cheap laptop with semi-decent gaming capabilities.	laptop miscellaneous	neutral
Other than that, I would recommend this to someone in need of a cheap laptop with semi-decent gaming capabilities.	laptop price	positive
Let me start with the good:So awesome.	laptop general	positive
Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.	cpu operation performance	positive
Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.	laptop design features	positive
Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.	os general	positive
This one has had the same effect.	laptop general	positive
The improvements to the OS have been relatively gradual, but substantive.	os general	positive
The Unibody construction is solid, sleek and beautiful.	laptop design features	positive
The Unibody construction is solid, sleek and beautiful.	laptop quality	positive
It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.	laptop design features	positive
It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.	laptop quality	positive
For the not so good, I got the stock screen - which is VERY glossy.	display quality	negative
It's still beautiful and has better color reproduction than I could ever expect from a notebook.	display design features	positive
It's still beautiful and has better color reproduction than I could ever expect from a notebook.	display quality	positive
The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.	display quality	neutral
The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.	display usability	neutral
The statement of 7 hour battery life is not just mere exaggeration -- it's a lie.	battery operation performance	negative
I challenge anyone to show proof that through anywhere near normal use can get more than 2.5 hrs out of it.	battery operation performance	negative
The first full charge of this battery got me only about 2 full hours.	battery operation performance	negative
Enabling the battery timer is useless.	battery operation performance	negative
The "Time remaining" goes from 4 hours plus to less than 2 hours over the span of about 10 minutes.	battery operation performance	negative
It's so bad that I'm thinking I only got half a battery or something.	battery operation performance	negative
I know what 7 hrs of battery looks like.	battery operation performance	negative
My only other complaint is that it gets really hot.:-)	laptop quality	negative
If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.	battery operation performance	negative
If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.	laptop general	positive
The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).	cpu miscellaneous	neutral
The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).	laptop design features	negative
The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).	laptop general	positive
The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).	laptop usability	negative
Other than that its a great performing machine and well meets all my needs and more.	laptop general	positive
Other than that its a great performing machine and well meets all my needs and more.	laptop operation performance	positive
Great product by Apple with the new great looking design.	company general	positive
Great product by Apple with the new great looking design.	laptop design features	positive
Great product by Apple with the new great looking design.	laptop general	positive
I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another "HP/Compaq" piece of crap.	hard disc quality	negative
I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another "HP/Compaq" piece of crap.	laptop quality	negative
I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another "HP/Compaq" piece of crap.	motherboard quality	negative
I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another "HP/Compaq" piece of crap.	optical drives quality	negative
I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another "HP/Compaq" piece of crap.	support quality	negative
It was slow, locked up, and also had hardware replaced after only 2 months!	hardware quality	negative
It was slow, locked up, and also had hardware replaced after only 2 months!	laptop operation performance	negative
So, buyers beware!	laptop general	negative
It is made better, thicker, and all out tough!	laptop design features	positive
It is made better, thicker, and all out tough!	laptop quality	positive
I droped this once from thetable when my baby girl grabed me one day and IT is still working with NO issues!	laptop quality	positive
I love the easy to see screen, and It works well for work, persoal or just play.	display usability	positive
I love the easy to see screen, and It works well for work, persoal or just play.	laptop miscellaneous	positive
I tell everyone I see out looking to get this or another Toshiba.	company general	positive
I tell everyone I see out looking to get this or another Toshiba.	laptop general	positive
My friends or children use that when they need to borrow the Net =) When I out grow this Meaning when its old and my oldest child is ready for one she will get this one ANd I will be buying only TOSHIBA!	company general	positive
I just love this lap top, I just wish it were all silver or they had all black.	laptop design features	neutral
I just love this lap top, I just wish it were all silver or they had all black.	laptop general	positive
That is my only complaint!	laptop design features	negative
LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!	laptop general	positive
LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!	laptop price	positive
WOULD PAY MORE FOR IT IF I HAD TOO!	laptop general	positive
WOULD PAY MORE FOR IT IF I HAD TOO!	laptop price	positive
I recently purchased the mini and absolutely love it!	laptop general	positive
It meets all my needs for work and pleasure while traveling.	laptop miscellaneous	positive
It meets all my needs for work and pleasure while traveling.	laptop portability	positive
I am totally satisfied with my little toshie!	laptop general	positive
From the moment I opened the box to the present it has been a great joy.	laptop general	positive
It is always reliable, never bugged and responds well.	laptop operation performance	positive
It is always reliable, never bugged and responds well.	laptop quality	positive
I love the operating system and the preloaded software.	os general	positive
I love the operating system and the preloaded software.	software general	positive
This machine delivers.	laptop operation performance	positive
It is also extremely pleasing to the eyes without looking too much like an Alienware gaming machine.	laptop design features	positive
It is a bit heavy.	laptop design features	negative
It would be a load on long trips where a lot of walking is required.	laptop portability	negative
Had some trouble finding a case that it would fit in.	laptop design features	negative
This is an over-sized, 18-inch laptop.	laptop design features	negative
It wouldn't fit in most 17-inch bags.	laptop design features	negative
I was disappointed when I realized that the keyboard doesn't light up on this model.	keyboard design features	negative
It also does not have bluetooth.	laptop design features	negative
You'll need to upgrade and pay a little more for them.	laptop design features	negative
I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard.	laptop design features	negative
Overall, still a very nice machine.	laptop general	positive
Boots up fast and runs great!	laptop operation performance	positive
I'm pleased.	laptop general	positive
The acer one compuer is a great computer.	laptop general	positive
I didn't want to buy a generic brand computer but it is really nice.	company general	neutral
I didn't want to buy a generic brand computer but it is really nice.	laptop general	positive
Its fast, has High definition quality in the videos.	display quality	positive
Its fast, has High definition quality in the videos.	laptop operation performance	positive
The pictures are clear as can be.	display quality	positive
If I had to buy another computer, I would most definetly buy an acer one computer.	company general	positive
If I had to buy another computer, I would most definetly buy an acer one computer.	laptop general	positive
Heck, if I had enough ' money, I would but it as a gift for someone.	laptop general	positive
Im glad that it has such great features in it.	laptop design features	positive
It also came with a built it web cam which is great because I can see an communicate with my family members back home.	laptop design features	positive
Clear picture on it and everything.	multimedia devices quality	positive
The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.	laptop general	positive
The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.	laptop operation performance	negative
The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it.	display design features	positive
The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it.	laptop portability	negative
Its good for playing my apps on Facebook or watching movies.	laptop miscellaneous	positive
Im very happy with this computer!	laptop general	positive
It's solid.	laptop quality	positive
Love the stability of the Mac software and operating system.	os operation performance	positive
Love the stability of the Mac software and operating system.	software operation performance	positive
The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.	software general	negative
The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.	software price	negative
The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.	software usability	negative
It seems to be incompatible with everything else.	software usability	negative
But the machine is awesome and iLife is great and I love Snow Leopard X.	laptop general	positive
But the machine is awesome and iLife is great and I love Snow Leopard X.	os general	positive
But the machine is awesome and iLife is great and I love Snow Leopard X.	software general	positive
i love to use it it is esay and light.	laptop design features	positive
i love to use it it is esay and light.	laptop general	positive
i love to use it it is esay and light.	laptop usability	positive
this laptop is durable and it is easy to travel with.	laptop portability	positive
this laptop is durable and it is easy to travel with.	laptop quality	positive
i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.	laptop portability	positive
this laptop is great for work and doing my pictures.	laptop miscellaneous	positive
i am a huge computer person i love anykind of computer that works well, but when i got this one i was so happy with the way it works and how it runs its amazing.	laptop operation performance	positive
the programs are esay to use and are quick to process this computer works like a charm.	laptop operation performance	positive
the programs are esay to use and are quick to process this computer works like a charm.	software operation performance	positive
the programs are esay to use and are quick to process this computer works like a charm.	software usability	positive
i can use it for all of my needs.	laptop general	positive
i give this laptop a five star review i love it and it has done chams for me.	laptop general	positive
if this computer every breaks down on me i will most definatly get the same one again.	laptop general	positive
i think that anyone looking for a good durrable laptop then this is the way to go.	laptop general	positive
i think that anyone looking for a good durrable laptop then this is the way to go.	laptop quality	positive
From the second you open the box you will fall in love with this computer!	laptop general	positive
The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.	os operation performance	positive
The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.	os quality	positive
The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!	company general	positive
The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!	mouse design features	positive
The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!	mouse usability	positive
The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!	os usability	positive
Apple continues to shine and provide a much more enjoyable computer experience!	company general	positive
Apple continues to shine and provide a much more enjoyable computer experience!	laptop general	positive
From the start, when you open the box you see a completely different class of machine.	laptop general	positive
The ease in which you set everything up is such that a child could do it.	laptop usability	positive
The screen is bright and clear, the operating system is solid and friendly to a novice.	display quality	positive
The screen is bright and clear, the operating system is solid and friendly to a novice.	os quality	positive
The screen is bright and clear, the operating system is solid and friendly to a novice.	os usability	positive
Fast, fast and fast, the web pages just fly by.	laptop operation performance	positive
